,speaker,sentence,gold
0,Biden,"How you doing, man?",0
1,Biden,"Well, first of all, thank you for doing this and looking forward to this, Mr. President.",0
4,Biden,The election has already started.,0
8,Biden,"He's been running on that, he ran on that and he's been governing on that.",0
12,Biden,"The other thing that's on the court, and if it's struck down, what happens?",0
17,Biden,"Those pre-existing conditions, insurance companies are going to love this.",0
18,Biden,And so it's just not appropriate to do this before this election.,0
21,Biden,He's elected to the next election.,0
22,Biden,That's simply not true.,0
23,Biden,Open discussion.,0
24,Biden,"Number one, he knows what I proposed.",0
26,Biden,We do not wipe any.,0
28,Biden,They can.,0
29,Biden,They do.,0
30,Biden,They will under my proposal.,0
31,Biden,That is simply a lie.,0
32,Biden,The party is me.,0
33,Biden,"Right now, I am the Democratic Party.",0
36,Biden,"Now, here's the deal.",0
41,Biden,I'm happy to talk about this.,0
42,Biden,You're not going to be able to shut him up.,0
43,Biden,Let me finish.,0
46,Biden,And so the election is all-,0
47,Biden,It's on the ballot in the court.,0
48,Biden,In the court.,0
49,Biden,Donald would you just be quiet for a minute.,0
50,Biden,All right.,0
51,Biden,Good healthcare.,0
52,Biden,He has not done healthcare.,0
53,Biden,Yes.,0
54,Biden,It does not.,0
58,Biden,Number one.,0
59,Biden,Number two.,0
60,Biden,"Look, hey.",0
61,Biden,I'm not going to listen to him.,0
62,Biden,The fact of the matter is I beat Bernie Sanders.,0
63,Biden,I beat him by a whole hell of a lot.,0
64,Biden,"I'm here standing facing you, old buddy.",0
65,Biden,All he knows how to do-,0
66,Biden,Look he's the deal.,0
67,Biden,I got very lucky.,0
68,Biden,I'm going to get very lucky tonight as well.,0
69,Biden,And tonight I'm going to make sure.,0
70,Biden,"Because here's the deal, here's the deal.",0
71,Biden,The fact is that everything he's saying so far is simply a lie.,0
72,Biden,I'm not here to call out his lies.,0
73,Biden,Everybody knows he's a liar.,0
74,Biden,"God, I want to make sure-",0
75,Biden,"No, he doesn't know how to do that.",0
76,Biden,"The wrong guy, the wrong night, at the wrong time.",0
77,Biden,"There is no manifesto, number one.",0
78,Biden,"I'll tell you what, he is not for any help for people needing healthcare.",0
80,Biden,Number one.,0
82,Biden,He won't ever look you in the eye and say that's what he wants to do.,0
83,Biden,Take it away.,0
84,Biden,He doesn't know how.,0
85,Biden,He doesn't know how to do that.,0
86,Biden,He has never offered a plan.,0
88,Biden,He sends out wishful thinking.,0
89,Biden,He has Executive Orders that have no power.,0
92,Biden,"He has none, like almost everything else he talks about.",0
94,Biden,He doesn't have a plan.,0
