,speaker,preprocessed
0,Biden,"How you doing, man?"
1,Biden,I'm well.
2,Biden,"Well, first of all, thank you for doing this and looking forward to this, Mr. President."
3,Biden,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They're not going to get that chance now because we're in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that's the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.
4,Biden,"Now, what's at stake here is the President's made it clear, he wants to get rid of the Affordable Care Act. He's been running on that, he ran on that and he's been governing on that. He's in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court. And the justice, I'm not opposed to the justice, she seems like a very fine person. But she's written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional. The other thing that's on the court, and if it's struck down, what happens? Women's rights are fundamentally changed. Once again, a woman could pay more money because she has a pre-existing condition of pregnancy. They're able to charge women more for the same exact procedure a man gets."
5,Biden,"And that ended when we, in fact, passed the Affordable Care Act, and there's a hundred million people who have pre-existing conditions and they'll be taken away as well. Those pre-existing conditions, insurance companies are going to love this. And so it's just not appropriate to do this before this election. If he wins the election and the Senate is Republican, then he goes forward. If not, we should wait until February."
6,Biden,He's elected to the next election.
7,Biden,That's simply not true.
8,Biden,Open discussion.
9,Biden,"Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal."
10,Biden,That is simply a lie.
11,Biden,"The party is me. Right now, I am the Democratic Party."
12,Biden,I am the Democratic Party right now.
13,Biden,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here's the deal. The deal is that it's going to wipe out pre-existing conditions. And, by the way, the 200,000 people that have died on his watch, how many of those have survived? Well, there's seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?"
14,Biden,I'm happy to talk about this.
15,Biden,You're not going to be able to shut him up.
16,Biden,"Let me finish. The point is that the President also is opposed to Roe V. Wade. That's on the ballot as well and the court, in the court, and so that's also at stake right now. And so the election is all-"
17,Biden,It's on the ballot in the court.
18,Biden,In the court.
19,Biden,Donald would you just be quiet for a minute.
20,Biden,All right.
21,Biden,Good healthcare.
22,Biden,He has not done healthcare.
23,Biden,Yes.
24,Biden,It is not.
25,Biden,"It does not. It's only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two."
26,Biden,"Look, hey."
27,Biden,I'm not going to listen to him. The fact of the matter is I beat Bernie Sanders.
28,Biden,I beat him by a whole hell of a lot.
29,Biden,"I'm here standing facing you, old buddy."
30,Biden,All he knows how to do-
31,Biden,Look he's the deal. I got very lucky. I'm going to get very lucky tonight as well.
32,Biden,And tonight I'm going to make sure.
33,Biden,"Because here's the deal, here's the deal. The fact is that everything he's saying so far is simply a lie. I'm not here to call out his lies. Everybody knows he's a liar."
34,Biden,"God, I want to make sure-"
35,Biden,"No, he doesn't know how to do that."
36,Biden,"The wrong guy, the wrong night, at the wrong time."
37,Biden,"There is no manifesto, number one."
38,Biden,Number two.
39,Biden,Number two.
40,Biden,"I'll tell you what, he is not for any help for people needing healthcare."
41,Biden,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won't ever look you in the eye and say that's what he wants to do. Take it away."
42,Biden,He doesn't know how. He doesn't know how to do that.
43,Biden,He has never offered a plan.
44,Biden,He has no plan for healthcare.
45,Biden,"He sends out wishful thinking. He has Executive Orders that have no power. He hasn't lowered drug costs for anybody. He's been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn't have a plan. And the fact is this man doesn't know what he's talking about.  ."
46,Biden,Sure.
47,Biden,"Whatever position I take on that, that'll become the issue. The issue is the American people should speak. You should go out and vote. You're voting now. Vote and let your Senators know strongly how you feel."
48,Biden,Vote now.
49,Biden,"Make sure you, in fact, let people know, your Senators."
50,Biden,I'm not going to answer the question.
51,Biden,"Will you shut up, man?"
52,Biden,This is so un-Presidential.
53,Biden,"That was really a productive segment, wasn't it? Keep yapping, man."
54,Biden,They sure do.
55,Biden,"Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world's population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, It is what it is. Well, it is what it is because you are who you are. That's why it is. The President has no plan. He hasn't laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He's on tape as acknowledging he knew it. He said he didn't tell us or give people a warning of it because he didn't want to panic the American people. You don't panic. He panicked. In addition to that, what did he do?"
56,Biden,He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.
57,Biden,He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn't have a plan.
