,speaker,text,cleaned
0,Wallace,"Good evening from the Health Education Campus of Case Western Reserve University and the Cleveland Clinic. I’m Chris Wallace of Fox News and I welcome you to the first of the 2020 Presidential Debates between President Donald J. Trump and former Vice President Joe Biden. This debate is sponsored by the Commission on Presidential debates. The Commission has designed the format, six roughly 15 minute segments with two minute answers from each candidate to the first question, then open discussion for the rest of each segment. Both campaigns have agreed to these rules. For the record, I decided the topics and the questions in each topic. I can assure you none of the questions has been shared with the Commission or the two candidates.",good evening health education campus case western reserve university cleveland clinic chris wallace fox news welcome presidential debate president donald j trump vice president joe biden debate sponsor commission presidential debate commission design format roughly minute segment minute answer candidate question open discussion rest segment campaign agree rule record decide topic question topic assure question share commission candidate
1,Wallace,"This debate is being conducted under health and safety protocols designed by the Cleveland Clinic, which is serving as the Health Security advisor to the Commission for all four debates. As a precaution, both campaigns have agreed the candidates will not shake hands at the beginning of tonight’s debate. The audience here in the hall has promised to remain silent. No cheers, no boos, or other interruptions so we, and more importantly you, can focus on what the candidates have to say. No noise except right now, as we welcome the Republican nominee, President Trump, and the Democratic nominee Vice President Biden.",debate conduct health safety protocol design cleveland clinic serve health security advisor commission debate precaution campaign agree candidate shake hand beginning tonight debate audience hall promise remain silent cheer boo interruption importantly focus candidate noise right welcome republican nominee president trump democratic nominee vice president biden
2,Biden,"How you doing, man?",man
5,Wallace,"Gentlemen, a lot of people been waiting for this night, so let’s get going. Our first subject is the Supreme Court. President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the Court. You say the Constitution is clear about your obligation and the Senate’s to consider a nominee to the Court. Vice President Biden, you say that this is an effort by the President and Republicans to jam through on an appointment in what you call an abuse of power. My first question to both of you tonight, why are you right in the argument you make and your opponent wrong? And where do you think a Justice Barrett would take the court? President Trump, in this first segment, you go first. Two minutes.",gentleman lot people wait night let go subject supreme court president trump nominate amy coney barrett weekend succeed late ruth bader ginsburg court constitution clear obligation senate consider nominee court vice president biden effort president republicans jam appointment abuse power question tonight right argument opponent wrong think justice barrett court president trump segment minute
6,Trump,"Thank you very much, Chris. I will tell you very simply. We won the election. Elections have consequences. We have the Senate, we have the White House, and we have a phenomenal nominee respected by all. Top, top academic, good in every way. Good in every way. In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places. So I think she’s going to be fantastic. We have plenty of time. Even if we did it after the election itself. I have a lot of time after the election, as you know. So I think that she will be outstanding. She’s going to be as good as anybody that has served on that court. We really feel that. We have a professor at Notre Dame, highly respected by all, said she’s the single greatest student he’s ever had. He’s been a professor for a long time at a great school.",thank chris tell simply win election election consequence senate white house phenomenal nominee respect academic good way good way fact big endorser liberal people notre dame place think go fantastic plenty time election lot time election know think outstanding go good anybody serve court feel professor notre dame highly respect say single great student professor long time great school
7,Trump,"And we won the election and therefore we have the right to choose her, and very few people knowingly would say otherwise. And by the way, the Democrats, they wouldn’t even think about not doing it. The only difference is they’d try and do it faster. There’s no way they would give it up. They had Merrick Garland, but the problem is they didn’t have the election so they were stopped. And probably that would happen in reverse, also. Definitely would happen in reverse. So we won the election and we have the right to do it, Chris.",win election right choose people knowingly way democrats think difference try fast way merrick garland problem election stop probably happen reverse definitely happen reverse win election right chris
8,Wallace,"President Trump, thank you. Same question to you, Vice President Biden. You have two minutes.",president trump thank question vice president biden minute
9,Biden,"Well, first of all, thank you for doing this and looking forward to this, Mr. President.",thank look forward mr president
10,Trump,"Thank you, Joe.",thank joe
11,Biden,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They’re not going to get that chance now because we’re in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.,american people right supreme court nominee occur vote united states senators vote president united states go chance middle election election start ten thousand people vote thing happen wait wait outcome election way american people express view elect president elect vice president
12,Biden,"Now, what’s at stake here is the President’s made it clear, he wants to get rid of the Affordable Care Act. He’s been running on that, he ran on that and he’s been governing on that. He’s in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court. And the justice, I’m not opposed to the justice, she seems like a very fine person. But she’s written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional. The other thing that’s on the court, and if it’s struck down, what happens? Women’s rights are fundamentally changed. Once again, a woman could pay more money because she has a pre-existing condition of pregnancy. They’re able to charge women more for the same exact procedure a man gets.",stake president clear want rid affordable care act run run govern supreme court right try rid affordable care act strip million people have health insurance go court justice opposed justice like fine person write go bench right think affordable care act constitutional thing court strike happen woman right fundamentally change woman pay money pre existing condition pregnancy able charge woman exact procedure man get
13,Biden,"And that ended when we, in fact, passed the Affordable Care Act, and there’s a hundred million people who have pre-existing conditions and they’ll be taken away as well. Those pre-existing conditions, insurance companies are going to love this. And so it’s just not appropriate to do this before this election. If he wins the election and the Senate is Republican, then he goes forward. If not, we should wait until February.",end fact pass affordable care act million people pre existing condition take away pre existing condition insurance company go love appropriate election win election senate republican go forward wait february
14,Trump,"There aren’t a hundred million people with pre-existing conditions. As far as a say is concerned, the people already had their say. Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years. We’re not elected for three years. I’m not elected for three years. So we have the Senate, we have a President-",million people pre existing condition far concern people okay justice ginsburg say powerfully strongly point year ago say president senate elect period time president elect year elect year elect year senate president
15,Biden,He’s elected to the next election.,elect election
16,Trump,"During that period of time, during that period of time, we have an opening. I’m not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy this.",period time period time opening elect year elect year joe million people totally wrong know get number big problem go extinguish million people private health care happy
17,Biden,That’s simply not true.,simply true
18,Trump,"Well, you’re certainly going to socialist. You’re going to socialist-",certainly go socialist go socialist
19,Wallace,"Gentlemen, we’re now into open discussion.",gentleman open discussion
20,Biden,Open discussion.,open discussion
21,Wallace,"Open discussion, yes, I agree. Go ahead, Vice President.",open discussion yes agree ahead vice president
22,Biden,"Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal.",number know propose propose expand obamacare increase wipe big debate colleague try win nomination win say biden want allow people private insurance proposal
23,Trump,That’s not what you’ve said and it’s not what your party is saying.,say party say
24,Biden,That is simply a lie.,simply lie
25,Trump,Your party doesn’t say it. Your party wants to go socialist medicine and socialist healthcare.,party party want socialist medicine socialist healthcare
26,Biden,"The party is me. Right now, I am the Democratic Party.",party right democratic party
27,Trump,"And they’re going to dominate you, Joe. You know that.",go dominate joe know
28,Biden,I am the Democratic Party right now.,democratic party right
29,Trump,Not according to Harris.,accord harris
30,Biden,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here’s the deal. The deal is that it’s going to wipe out pre-existing conditions. And, by the way, the 200,000 people that have died on his watch, how many of those have survived? Well, there’s seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?",platform democratic party fact approve approve deal deal go wipe pre existing condition way people die watch survive seven million people contract covid mean go forward strike affordable care act
31,Trump,"Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military. So don’t tell me about this.",joe military people die provide proper healthcare military tell
32,Biden,I’m happy to talk about this.,happy talk
33,Trump,"And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw. You didn’t want me to ban China, which was heavily infected. You didn’t want me to ban Europe.",million people late draw want ban china heavily infect want ban europe
34,Wallace,"All right, gentlemen, Mr. President.",right gentleman mr president
35,Trump,"You would have been much later, Joe, much later.",later joe later
