,speaker,text,cluster tokens,cluster
2,Biden,"How you doing, man?",man,2
9,Biden,"Well, first of all, thank you for doing this and looking forward to this, Mr. President.",thank look forward mr president,2
11,Biden,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They're not going to get that chance now because we're in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that's the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.,american people right supreme court nominee occur vote united states senators vote president united states go chance middle election election start ten thousand people vote thing happen wait wait outcome election way american people express view elect president elect vice president,2
12,Biden,"Now, what's at stake here is the President's made it clear, he wants to get rid of the Affordable Care Act. He's been running on that, he ran on that and he's been governing on that. He's in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court. And the justice, I'm not opposed to the justice, she seems like a very fine person. But she's written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional. The other thing that's on the court, and if it's struck down, what happens? Women's rights are fundamentally changed. Once again, a woman could pay more money because she has a pre-existing condition of pregnancy. They're able to charge women more for the same exact procedure a man gets.",stake president clear want rid affordable care act run run govern supreme court right try rid affordable care act strip million people have health insurance go court justice opposed justice fine person write go bench right think affordable care act constitutional thing court strike happen woman right fundamentally change woman pay money pre existing condition pregnancy able charge woman exact procedure man get,2
13,Biden,"And that ended when we, in fact, passed the Affordable Care Act, and there's a hundred million people who have pre-existing conditions and they'll be taken away as well. Those pre-existing conditions, insurance companies are going to love this. And so it's just not appropriate to do this before this election. If he wins the election and the Senate is Republican, then he goes forward. If not, we should wait until February.",end fact pass affordable care act million people pre existing condition take away pre existing condition insurance company go love appropriate election win election senate republican go forward wait february,2
15,Biden,He's elected to the next election.,elect election,0
17,Biden,That's simply not true.,simply true,1
20,Biden,Open discussion.,open discussion,0
22,Biden,"Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal.",know propose propose expand obamacare increase wipe big debate colleague try win nomination win say biden want allow people private insurance proposal,0
24,Biden,That is simply a lie.,simply lie,0
26,Biden,"The party is me. Right now, I am the Democratic Party.",party right democratic party,2
28,Biden,I am the Democratic Party right now.,democratic party right,2
30,Biden,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here's the deal. The deal is that it's going to wipe out pre-existing conditions. And, by the way, the 200,000 people that have died on his watch, how many of those have survived? Well, there's seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?",platform democratic party fact approve approve deal deal go wipe pre existing condition way people die watch survive seven million people contract covid mean go forward strike affordable care act,2
32,Biden,I'm happy to talk about this.,happy talk,0
38,Biden,You're not going to be able to shut him up.,go able shut,0
40,Biden,"Let me finish. The point is that the President also is opposed to Roe V. Wade. That's on the ballot as well and the court, in the court, and so that's also at stake right now. And so the election is all-",let finish point president oppose roe v wade ballot court court stake right election all,2
42,Biden,It's on the ballot in the court.,ballot court,2
44,Biden,In the court.,court,2
46,Biden,Donald would you just be quiet for a minute.,donald quiet minute,0
49,Biden,All right.,right,2
55,Biden,Good healthcare.,good healthcare,0
74,Biden,He has not done healthcare.,healthcare,0
79,Biden,Yes.,yes,0
85,Biden,"It does not. It's only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two.",people poor qualify medicaid free state governor want deny people poor medicaid qualify medicaid automatically enrol public option vast majority american people option,2
87,Biden,"Look, hey.",look,0
89,Biden,I'm not going to listen to him. The fact of the matter is I beat Bernie Sanders.,go listen fact matter beat bernie sander,0
91,Biden,I beat him by a whole hell of a lot.,beat hell lot,0
93,Biden,"I'm here standing facing you, old buddy.",stand face old buddy,0
95,Biden,All he knows how to do-,know do,3
97,Biden,Look he's the deal. I got very lucky. I'm going to get very lucky tonight as well.,look deal get lucky go lucky tonight,0
99,Biden,And tonight I'm going to make sure.,tonight go sure,0
101,Biden,"Because here's the deal, here's the deal. The fact is that everything he's saying so far is simply a lie. I'm not here to call out his lies. Everybody knows he's a liar.",deal deal fact say far simply lie lie everybody know liar,3
103,Biden,"God, I want to make sure-",god want sure,0
105,Biden,"No, he doesn't know how to do that.",know,3
107,Biden,"The wrong guy, the wrong night, at the wrong time.",wrong guy wrong night wrong time,0
109,Biden,"There is no manifesto, number one.",manifesto,0
116,Biden,"I'll tell you what, he is not for any help for people needing healthcare.",tell help people need healthcare,2
