,speaker,sentence,gold,cluster tokens,cluster
0,Biden,"How you doing, man?",0,man,3
1,Biden,"Well, first of all, thank you for doing this and looking forward to this, Mr. President.",0,thank look forward mr president,3
2,Biden,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States.,1,american people right supreme court nominee occur vote united states senators vote president united states,2
3,Biden,They're not going to get that chance now because we're in the middle of an election already.,1,go chance middle election,3
4,Biden,The election has already started.,0,election start,3
5,Biden,Tens of thousands of people already voted and so the thing that should happen is we should wait.,1,ten thousand people vote thing happen wait,8
6,Biden,We should wait and see what the outcome of this election is because that's the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.,1,wait outcome election way american people express view elect president elect vice president,1
7,Biden,"Now, what's at stake here is the President's made it clear, he wants to get rid of the Affordable Care Act.",0,stake president clear want rid affordable care act,8
8,Biden,"He's been running on that, he ran on that and he's been governing on that.",0,run run govern,3
9,Biden,"He's in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court.",1,supreme court right try rid affordable care act strip million people have health insurance go court,0
10,Biden,"And the justice, I'm not opposed to the justice, she seems like a very fine person.",0,justice opposed justice fine person,3
11,Biden,"But she's written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional.",0,write go bench right think affordable care act constitutional,0
12,Biden,"The other thing that's on the court, and if it's struck down, what happens?",0,thing court strike happen,8
13,Biden,Women's rights are fundamentally changed.,1,woman right fundamentally change,0
14,Biden,"Once again, a woman could pay more money because she has a pre-existing condition of pregnancy.",1,woman pay money pre existing condition pregnancy,0
15,Biden,They're able to charge women more for the same exact procedure a man gets.,1,able charge woman exact procedure man get,3
16,Biden,"And that ended when we, in fact, passed the Affordable Care Act, and there's a hundred million people who have pre-existing conditions and they'll be taken away as well.",1,end fact pass affordable care act million people pre existing condition take away,5
17,Biden,"Those pre-existing conditions, insurance companies are going to love this.",0,pre existing condition insurance company go love,0
18,Biden,And so it's just not appropriate to do this before this election.,0,appropriate election,3
19,Biden,"If he wins the election and the Senate is Republican, then he goes forward.",1,win election senate republican go forward,3
20,Biden,"If not, we should wait until February.",1,wait february,0
21,Biden,He's elected to the next election.,0,elect election,3
22,Biden,That's simply not true.,0,simply true,4
23,Biden,Open discussion.,0,open discussion,3
